batch_id,id,meta.code_1,meta.code_2,meta.code_3,meta.code_4,meta.code_5,meta.code_6,meta.code_7,meta.code_8,meta.code_9,meta.code_10,meta.code_11,meta.code_12,meta.code_13,meta.code_14,label,description
0767,unnamed-1.jpg,Art: miscellaneous (11) ,Art: Posters ,Community: Organizations: Critical Resistance ,Elements: Earth: Animals ,Elements: Earth: Animals: Birds ,Infrastructure/Needs: miscellaneous (10) ,Protests/Marches: miscellaneous ,Slogans: miscellaneous (7) ,Slogans: No Jails/Bail,,,,,,unnamed-1.jpg,"Art: miscellaneous (11) , Art: Posters , Community: Organizations: Critical Resistance , Elements: Earth: Animals , Elements: Earth: Animals: Birds , Infrastructure/Needs: miscellaneous (10) , Protests/Marches: miscellaneous , Slogans: miscellaneous (7) , Slogans: No Jails/Bail"
0768,unnamed-2.jpg,,,,,,,,,,,,,,,unnamed-2.jpg,
0769,unnamed.jpg,,,,,,,,,,,,,,,unnamed.jpg,
0770,unnamed.png,,,,,,,,,,,,,,,unnamed.png,
0771,"Vancouver+PJD+poster,+2009+[Artist-+Tania+Willard,+2008].jpg",Art: miscellaneous (11) ,Art: Posters ,Carceral Imagery: Prison Imagery: Bars ,Elements: Earth: Animals ,Elements: Earth: Animals: Birds ,Events ,Geography: Vancouver,,,,,,,,"Vancouver+PJD+poster,+2009+[Artist-+Tania+Willard,+2008].jpg","Art: miscellaneous (11) , Art: Posters , Carceral Imagery: Prison Imagery: Bars , Elements: Earth: Animals , Elements: Earth: Animals: Birds , Events , Geography: Vancouver"
0772,Void 1.png,,,,,,,,,,,,,,,Void 1.png,
0773,walls.jpeg,,,,,,,,,,,,,,,walls.jpeg,
0774,walls.jpg,,,,,,,,,,,,,,,walls.jpg,
0775,walls1.jpeg,,,,,,,,,,,,,,,walls1.jpeg,
0776,walls1.jpg,,,,,,,,,,,,,,,walls1.jpg,
0777,walls2.jpeg,,,,,,,,,,,,,,,walls2.jpeg,
0778,walls2.jpg,,,,,,,,,,,,,,,walls2.jpg,
0779,watercannon_blue_REVISED.jpg,Art: miscellaneous (11) ,Art: Posters ,Elements: miscellaneous (8) ,Elements: Water ,Environment ,Violence: Police Violence,,,,,,,,,watercannon_blue_REVISED.jpg,
0780,waters.jpeg,,,,,,,,,,,,,,,waters.jpeg,
0781,waters.jpg,,,,,,,,,,,,,,,waters.jpg,
0782,We_are_water_590.jpg,Art: miscellaneous (11) ,Elements: miscellaneous (8) ,Elements: Water ,Environment ,Protests/Marches: miscellaneous ,Slogans: miscellaneous (7),,,,,,,,,We_are_water_590.jpg,
0783,We-are-Protectors-1500.jpg,Art: miscellaneous (11) ,Elements: miscellaneous (8) ,Elements: Water ,Protests/Marches: miscellaneous ,Slogans: miscellaneous (7),,,,,,,,,,We-are-Protectors-1500.jpg,
0784,WhoseCrisis_Blue_for_Campus_small-3-768x1024.jpg,Academia: miscellaneous (4) ,Events,,,,,,,,,,,,,WhoseCrisis_Blue_for_Campus_small-3-768x1024.jpg,"Academia: miscellaneous (4) , Events"
0785,Wriply-1500px.jpg,Art: miscellaneous (11) ,Carceral Imagery: miscellaneous (5) ,Carceral Imagery: Prison Imagery ,Carceral Imagery: Prison Imagery: Bars ,Protests/Marches: Power Fist ,Queer,,,,,,,,,Wriply-1500px.jpg,"Art: miscellaneous (11) , Carceral Imagery: miscellaneous (5) , Carceral Imagery: Prison Imagery , Carceral Imagery: Prison Imagery: Bars , Protests/Marches: Power Fist , Queer"
0786,WriplyBennet-BLM-1500px.jpg,Art: miscellaneous (11) ,Slogans: BLM,,,,,,,,,,,,,WriplyBennet-BLM-1500px.jpg,"Art: miscellaneous (11) , Slogans: BLM"
0787,WRL_Jail1500.jpg,Art: miscellaneous (11) ,Carceral Imagery: miscellaneous (5) ,Carceral Imagery: Prison Imagery ,Carceral Imagery: Prison Imagery: Bars,,,,,,,,,,,WRL_Jail1500.jpg,"Art: miscellaneous (11) , Carceral Imagery: miscellaneous (5) , Carceral Imagery: Prison Imagery , Carceral Imagery: Prison Imagery: Bars"
0788,Zola_letthemallgo_1500-1.jpg,,,,,,,,,,,,,,,Zola_letthemallgo_1500-1.jpg,
0789,ZZZ-rob_protect_water_banner_oct23.jpg,Elements: miscellaneous (8) ,Elements: Water ,Protests/Marches: miscellaneous ,Slogans: miscellaneous (7),,,,,,,,,,,ZZZ-rob_protect_water_banner_oct23.jpg,"Elements: miscellaneous (8) , Elements: Water , Protests/Marches: miscellaneous , Slogans: miscellaneous (7)"
0790,4:8:2022 [anarchistposters] What Color is your Flag When it Burns? -fire-.png,Carceral Imagery: Flags ,Carceral Imagery: Police Imagery ,Carceral Imagery: Police Imagery : Thin Blue Line TBL ,Elements: Fire ,Elements: miscellaneous (8),,,,,,,,,,4:8:2022 [anarchistposters] What Color is your Flag When it Burns? -fire-.png,"Carceral Imagery: Flags , Carceral Imagery: Police Imagery , Carceral Imagery: Police Imagery : Thin Blue Line TBL , Elements: Fire , Elements: miscellaneous (8)"
0791,California-prisoner-hunger-strike-solidarity-rally-Irma-Hedlin-mother-of-two-hunger-strikers-at-Pelican-Bay-speaks-10...,Carceral Imagery: miscellaneous (5) ,Carceral Imagery: Prison Imagery ,Community: miscellaneous (3) ,Protests/Marches: Megaphone ,Protests/Marches: miscellaneous,,,,,,,,,,California-prisoner-hunger-strike-solidarity-rally-Irma-Hedlin-mother-of-two-hunger-strikers-at-Pelican-Bay-speaks-10...,"Carceral Imagery: miscellaneous (5) , Carceral Imagery: Prison Imagery , Community: miscellaneous (3) , Protests/Marches: Megaphone , Protests/Marches: miscellaneous"
